K,Precision,Recall,NDCG
5,0.010215053763440859,0.03752240143369176,0.027576396979096005
10,0.023790322580645167,0.13205645161290322,0.06490957104865336
20,0.01202956989247312,0.13474462365591397,0.06558243202570718
