K,Precision,Recall,NDCG
5,0.016935483870967744,0.04256272401433692,0.038278311232801975
10,0.016801075268817203,0.08579749103942652,0.0542452950780382
20,0.009274193548387098,0.09565412186379929,0.05722013422658624
