K,Precision,Recall,NDCG
5,0.11139041633935585,0.27631578947368424,0.27788711160338886
10,0.05577376276512176,0.2765776381251636,0.2779936724623303
20,0.027965435978004716,0.277363184079602,0.27821656154617314
