Model,TrainInteractions,TestUsers,CandidateItemsPerUser,TotalEvaluatedCandidates,TotalEpochs,TrainTimeSeconds,AvgEpochTimeSeconds,InferenceTimeSeconds,ModelWallTimeSeconds,TrainingInteractionsPerSecond,UsersPerSecond,CandidateScoresPerSecond,FinalTrainLoss,TrainingHistoryPath
Random Baseline,8129,1273,6089,7751297,0,0.0,0.0,0.35616064071655273,0.359877347946167,0.0,3574.2298684067837,21763485.668728907,,
Popularity Baseline,8129,1273,6089,7751297,0,0.0,0.0,0.3416268825531006,0.34661364555358887,0.0,3726.287552333157,22689364.906156592,,
Collaborative Filtering,8129,1273,6089,7751297,100,2.3043103218078613,0.023043103218078613,0.42833471298217773,2.786729335784912,352773.6660755979,2971.974863155598,18096354.941754434,0.20108098096147442,results/collaborative_filtering_training_history.csv
Deepfm,8129,1273,6089,7751297,100,19.28847336769104,0.1928747296333313,19.278458833694458,38.614973068237305,42144.34105301666,66.03224930901007,402070.36604256235,0.44766930654518483,results/deepfm_training_history.csv
Twotower,8129,1273,6089,7751297,100,46.943814516067505,0.4694181489944458,0.4353773593902588,47.429754972457886,17316.44538007809,2923.900318984943,17803629.04229932,0.326380858629271,results/twotower_training_history.csv
Lightgcn,8129,1273,6089,7751297,100,26.675877809524536,0.26675877809524534,0.41863417625427246,27.241102933883667,30473.224004263382,3040.8410784570005,18515681.32672468,0.009188570433682014,results/lightgcn_training_history.csv
Graph Augmented Twotower,8129,1273,6089,7751297,100,78.61418509483337,0.7861418509483338,0.5142216682434082,79.28474116325378,10340.373038522088,2475.586072342292,15073843.594492216,0.08796174565222684,results/graph_augmented_twotower_training_history.csv
Harn,8129,1273,6089,7751297,100,78.48548007011414,0.7848548007011413,123.01946973800659,201.57000470161438,10357.329779645926,10.347955512335536,63008.70111461108,0.011047296675016284,results/harn_training_history.csv
