K,Precision,Recall,NDCG
5,0.0003142183817753339,0.000589159465828751,0.0007883167657168579
10,0.00039277297721916735,0.0016365540717465303,0.0012109781375786955
20,0.00039277297721916735,0.003600418957842367,0.001813974385402607
