epoch,train_loss,epoch_time_seconds,learning_rate
1,1.4037052,0.8363135,0.001
2,1.3668474,0.9595444,0.001
3,1.3382182,0.7974286,0.001
4,1.290451,0.7909601,0.001
5,1.2068753,0.80448437,0.001
6,1.0852052,0.7511456,0.001
7,0.92951584,0.7757757,0.001
8,0.80014753,0.8174143,0.001
9,0.7210699,0.75952005,0.001
10,0.64910156,0.75242114,0.001
11,0.5353049,0.8399646,0.001
12,0.47935158,0.7769892,0.001
13,0.41503432,0.7750795,0.001
14,0.34582338,0.7889774,0.001
15,0.3120063,0.78080463,0.001
16,0.2659151,0.7602155,0.001
17,0.2330807,0.7573297,0.001
18,0.20211717,0.7577977,0.001
19,0.18261096,0.7721455,0.001
20,0.16678233,0.7860248,0.001
21,0.15658608,0.76337504,0.001
22,0.13787758,0.76198816,0.001
23,0.13764061,0.7431214,0.001
24,0.15459955,0.7599807,0.001
25,0.1380457,0.7535472,0.001
26,0.10830148,0.77168345,0.001
27,0.10559176,0.7399101,0.001
28,0.09353358,0.7736988,0.001
29,0.090571485,0.7379217,0.001
30,0.080214545,0.74991727,0.001
31,0.08306888,0.75748205,0.001
32,0.07186135,0.7504387,0.001
33,0.07263009,0.75094986,0.001
34,0.20743321,0.7823441,0.001
35,0.06642124,0.7381017,0.001
36,0.06469641,0.7293513,0.001
37,0.058932252,0.8072839,0.001
38,0.05928817,0.76267314,0.001
39,0.053214077,0.7365837,0.001
40,0.05074595,0.7771895,0.001
41,0.04978609,0.7596605,0.001
42,0.045610964,0.75141764,0.001
43,0.040752172,0.78110576,0.001
44,0.14351225,0.7521858,0.001
45,0.044310678,0.73792195,0.001
46,0.2172504,0.7570152,0.001
47,0.13435425,0.81926394,0.001
48,0.041395683,1.4061103,0.001
49,0.11985527,0.7887695,0.001
50,0.045115534,0.76305866,0.001
51,0.11427413,0.75270295,0.001
52,0.03476313,0.74642205,0.001
53,0.033283602,0.7771828,0.001
54,0.037432656,1.0254202,0.001
55,0.031434815,0.8401027,0.001
56,0.041274182,0.77770114,0.001
57,0.0318968,0.77193475,0.001
58,0.15698186,0.7748544,0.001
59,0.100058,0.7677984,0.001
60,0.029004347,0.7781093,0.001
61,0.093840376,0.77969,0.001
62,0.035498567,0.7623019,0.001
63,0.028765157,0.78432965,0.001
64,0.026428381,0.76777387,0.001
65,0.1833776,0.8177614,0.001
66,0.03160359,0.77849936,0.001
67,0.027146682,0.8151903,0.001
68,0.02654803,0.7451682,0.001
69,0.023104483,0.75914884,0.001
70,0.021440161,0.77137876,0.001
71,0.02066232,0.8442168,0.001
72,0.018819341,0.75893426,0.001
73,0.018999076,0.7784102,0.001
74,0.017569449,0.76789236,0.001
75,0.01769388,0.74777365,0.001
76,0.020293074,0.772372,0.001
77,0.02120235,0.7506294,0.001
78,0.019183096,0.73809433,0.001
79,0.020920938,0.7646425,0.001
80,0.017016377,0.78106856,0.001
81,0.016387872,0.7492404,0.001
82,0.01681578,0.84065604,0.001
83,0.016372075,0.8226533,0.001
84,0.015364027,0.75861144,0.001
85,0.014774322,0.7718129,0.001
86,0.014086689,0.77645755,0.001
87,0.014625468,0.75313044,0.001
88,0.013033548,0.76797414,0.001
89,0.014797263,0.76819515,0.001
90,0.012588233,0.7430444,0.001
91,0.014119644,0.7703738,0.001
92,0.014597002,0.7433183,0.001
93,0.012882728,0.76789355,0.001
94,0.012237145,0.79163814,0.001
95,0.010874417,0.82650495,0.001
96,0.010560372,0.7796624,0.001
97,0.012894626,0.80006146,0.001
98,0.012168536,0.7876649,0.001
99,0.013491515,0.8486717,0.001
100,0.011047296,0.81602263,0.001
