K,Precision,Recall,NDCG
5,0.005645161290322582,0.01881720430107527,0.01171189284450414
10,0.014247311827956988,0.08131720430107527,0.03407387570823382
20,0.012365591397849464,0.13709677419354838,0.05201485292788003
