Model,Precision@10,Recall@10,NDCG@10,Train Time,Inference Time
Random Baseline,0.00039277297721916735,0.0016365540717465303,0.0012109781375786955,0.0,0.35616064071655273
Popularity Baseline,0.028750981932443048,0.14206598586017283,0.17032131844459383,0.0,0.3416268825531006
Collaborative Filtering,0.05789473684210526,0.28618748363445934,0.28369686437855235,2.3043103218078613,0.42833471298217773
Deepfm,0.05663786331500392,0.28076721654883474,0.2777638427131328,19.28847336769104,19.278458833694458
Twotower,0.05687352710133543,0.2814611154752553,0.20216137458020564,46.943814516067505,0.4353773593902588
Lightgcn,0.057816182246661435,0.2860696517412935,0.2839864010876042,26.675877809524536,0.41863417625427246
Graph Augmented Twotower,0.0586802827965436,0.2894157034376987,0.28447379522586425,78.61418509483337,0.5142216682434082
Harn,0.05577376276512176,0.2765776381251636,0.2779936724623303,78.48548007011414,123.01946973800659
