K,Precision,Recall,NDCG
5,0.11484681853888451,0.2837466801331687,0.2822760326657551
10,0.0586802827965436,0.2894157034376987,0.28447379522586425
20,0.030204241948153965,0.29687839000486294,0.28686658392534725
