epoch,train_loss,epoch_time_seconds,learning_rate
1,0.6932188,0.12619066,0.001
2,0.69216335,0.019296885,0.001
3,0.6912532,0.019486904,0.001
4,0.69025856,0.018625975,0.001
5,0.6894045,0.018002987,0.001
6,0.6883981,0.018105745,0.001
7,0.6873141,0.020204782,0.001
8,0.6861979,0.020094872,0.001
9,0.685032,0.023320675,0.001
10,0.68376994,0.020595074,0.001
11,0.6823768,0.02100277,0.001
12,0.6809489,0.021976471,0.001
13,0.67928684,0.019332647,0.001
14,0.6775909,0.020465612,0.001
15,0.6757667,0.021515846,0.001
16,0.67367977,0.0222013,0.001
17,0.6715573,0.021059036,0.001
18,0.6692762,0.020865917,0.001
19,0.66667664,0.019049644,0.001
20,0.6639813,0.020994663,0.001
21,0.6611157,0.021343946,0.001
22,0.6577692,0.020379543,0.001
23,0.65461576,0.02096343,0.001
24,0.65105116,0.023517132,0.001
25,0.6474624,0.021486044,0.001
26,0.6436037,0.02046609,0.001
27,0.6391928,0.024442196,0.001
28,0.63500285,0.020964146,0.001
29,0.6303779,0.022247076,0.001
30,0.62551564,0.022096395,0.001
31,0.62062585,0.021013975,0.001
32,0.6153113,0.02073431,0.001
33,0.6101445,0.022983313,0.001
34,0.60448194,0.01910925,0.001
35,0.5986139,0.019997597,0.001
36,0.59283733,0.019677877,0.001
37,0.58680403,0.019545555,0.001
38,0.58050925,0.022552252,0.001
39,0.57418704,0.019715786,0.001
40,0.5676871,0.020015717,0.001
41,0.5610576,0.020542145,0.001
42,0.55409694,0.020000458,0.001
43,0.5473245,0.022245407,0.001
44,0.540337,0.018013954,0.001
45,0.53358376,0.022293568,0.001
46,0.52603334,0.021377563,0.001
47,0.5191873,0.021975994,0.001
48,0.51195973,0.019329548,0.001
49,0.50453466,0.01916051,0.001
50,0.4971043,0.019001722,0.001
51,0.49012947,0.03057599,0.001
52,0.48251975,0.027354717,0.001
53,0.47547823,0.027072668,0.001
54,0.4681987,0.03137064,0.001
55,0.46106097,0.03968501,0.001
56,0.45336804,0.03109622,0.001
57,0.44667307,0.027810574,0.001
58,0.4389702,0.027004242,0.001
59,0.43161508,0.022976875,0.001
60,0.42501438,0.023309946,0.001
61,0.41742483,0.024165392,0.001
62,0.4107279,0.024411201,0.001
63,0.40351894,0.02515173,0.001
64,0.3967919,0.024001122,0.001
65,0.38973138,0.02440095,0.001
66,0.3831448,0.024520874,0.001
67,0.37625676,0.024229765,0.001
68,0.3698098,0.02410841,0.001
69,0.36446232,0.02216196,0.001
70,0.3570805,0.02212882,0.001
71,0.3504477,0.021077633,0.001
72,0.34394822,0.021098137,0.001
73,0.33823907,0.023451567,0.001
74,0.3317692,0.02366376,0.001
75,0.3252915,0.024297953,0.001
76,0.31975868,0.021407127,0.001
77,0.31356353,0.022398233,0.001
78,0.3074884,0.022501707,0.001
79,0.30283758,0.020988703,0.001
80,0.29685023,0.018996477,0.001
81,0.29103187,0.022180319,0.001
82,0.2853148,0.022270203,0.001
83,0.28056172,0.021157742,0.001
84,0.27433622,0.020553589,0.001
85,0.26981178,0.022001505,0.001
86,0.2640313,0.020198584,0.001
87,0.25925556,0.02131486,0.001
88,0.25405705,0.018995523,0.001
89,0.24934877,0.020528078,0.001
90,0.2444438,0.022107601,0.001
91,0.2391867,0.020437717,0.001
92,0.23542646,0.022396564,0.001
93,0.2305946,0.021452665,0.001
94,0.2257197,0.019535303,0.001
95,0.22193758,0.020833015,0.001
96,0.21759754,0.020011663,0.001
97,0.21316697,0.019094706,0.001
98,0.20927712,0.022766829,0.001
99,0.20479369,0.01945901,0.001
100,0.20108098,0.020015478,0.001
