K,Precision,Recall,NDCG
5,0.009946236559139785,0.037186379928315416,0.026412036802573636
10,0.023521505376344086,0.1303763440860215,0.06332119894096738
20,0.011895161290322583,0.13216845878136202,0.06384117207937869
