epoch,train_loss,epoch_time_seconds,learning_rate
1,1.4795862,0.42658353,0.0005
2,1.2052968,0.46317124,0.0005
3,1.0865935,0.46238875,0.0005
4,1.0438927,0.45237327,0.0005
5,1.0195942,0.4548571,0.0005
6,1.005896,0.46695662,0.0005
7,0.99821466,0.471092,0.0005
8,0.98760325,0.51122427,0.0005
9,0.978823,0.48153353,0.0005
10,0.969618,0.44476485,0.0005
11,0.95844615,0.479249,0.0005
12,0.9446918,0.45613527,0.0005
13,0.9323623,0.45329475,0.0005
14,0.91314185,0.47094297,0.0005
15,0.91033506,0.44537497,0.0005
16,0.88894993,0.49061275,0.0005
17,0.87714,0.45178676,0.0005
18,0.8588622,0.46402073,0.0005
19,0.83858436,0.46139264,0.0005
20,0.8175417,0.45409513,0.0005
21,0.7907855,0.47126412,0.0005
22,0.77682555,0.45728207,0.0005
23,0.73312217,0.48120785,0.0005
24,0.7131476,0.47355795,0.0005
25,0.6738289,0.4681821,0.0005
26,0.65618986,0.48191595,0.0005
27,0.63139427,0.46153975,0.0005
28,0.6047736,0.4949205,0.0005
29,0.59988284,0.5208504,0.0005
30,0.5797233,0.50152254,0.0005
31,0.56382734,0.4693811,0.0005
32,0.557797,0.45157337,0.0005
33,0.5513595,0.46687913,0.0005
34,0.534865,0.4666257,0.0005
35,0.5156055,0.4748559,0.0005
36,0.51300555,0.45314932,0.0005
37,0.52229565,0.45828915,0.0005
38,0.49776554,0.44903612,0.0005
39,0.4888532,0.45221615,0.0005
40,0.4810707,0.5039563,0.0005
41,0.4851234,0.47174144,0.0005
42,0.48254243,0.44582033,0.0005
43,0.46523854,0.46019983,0.0005
44,0.45997652,0.46056128,0.0005
45,0.471099,0.4514022,0.0005
46,0.44869354,0.45083833,0.0005
47,0.45423713,0.44886875,0.0005
48,0.4415665,0.4654448,0.0005
49,0.43949938,0.46535826,0.0005
50,0.43965155,0.46816254,0.0005
51,0.42910993,0.59645414,0.0005
52,0.42323372,0.4752264,0.0005
53,0.42101714,0.4515972,0.0005
54,0.42031035,0.5134175,0.0005
55,0.42294592,0.46002054,0.0005
56,0.4060331,0.46907735,0.0005
57,0.41590914,0.45504713,0.0005
58,0.40561664,0.46193457,0.0005
59,0.41443256,0.456856,0.0005
60,0.39332163,0.4645908,0.0005
61,0.391632,0.4552462,0.0005
62,0.39668897,0.46062613,0.0005
63,0.38674727,0.4830551,0.0005
64,0.37215838,0.46585655,0.0005
65,0.3816634,0.498775,0.0005
66,0.39017853,0.5300605,0.0005
67,0.38904592,0.4730456,0.0005
68,0.36874825,0.4692285,0.0005
69,0.37608963,0.45814085,0.0005
70,0.36816627,0.43908286,0.0005
71,0.35296524,0.44870114,0.0005
72,0.37358275,0.45127964,0.0005
73,0.36206076,0.46299028,0.0005
74,0.34771788,0.45534587,0.0005
75,0.35161257,0.4683354,0.0005
76,0.36314216,0.45478654,0.0005
77,0.35000026,0.44826055,0.0005
78,0.344683,0.4689963,0.0005
79,0.3392364,0.4502294,0.0005
80,0.32380745,0.45491886,0.0005
81,0.32398987,0.45591378,0.0005
82,0.3249349,0.46919322,0.0005
83,0.31969038,0.4530251,0.0005
84,0.32939252,0.46831203,0.0005
85,0.32257843,0.44194388,0.0005
86,0.32281753,0.45806336,0.0005
87,0.32593617,0.4760375,0.0005
88,0.32068843,0.47209024,0.0005
89,0.31275585,0.47263575,0.0005
90,0.30661574,0.5211065,0.0005
91,0.30095103,0.47934532,0.0005
92,0.2964735,0.48300982,0.0005
93,0.31126228,0.4534297,0.0005
94,0.29665002,0.45155787,0.0005
95,0.29559004,0.45978117,0.0005
96,0.29930305,0.46038628,0.0005
97,0.29243055,0.48838305,0.0005
98,0.28502968,0.45525694,0.0005
99,0.2960176,0.46137643,0.0005
100,0.28813398,0.44011116,0.0005
